,id,retweet_count,favorite_count,retweeted,language
75,878057613040115712,5882,37944,False,en
76,877736472329191424,16250,71023,False,en
77,877611172832227328,70,0,False,en
78,877556246731214848,3259,20423,False,en
79,877316821321428993,4470,24721,False,en
80,877201837425926144,4767,24387,False,en
81,876838120628539392,2870,18639,False,en
82,876537666061221889,4077,21481,False,en
83,876484053909872640,2049,16940,False,en
84,876120275196170240,4013,25226,False,en
85,875747767867523072,3679,22673,False,en
86,875144289856114688,4237,19807,False,en
87,875097192612077568,5257,24787,False,en
88,875021211251597312,4081,23054,False,en
89,874680097055178752,4019,25144,False,en
90,874434818259525634,12550,0,False,en
91,874296783580663808,3576,23532,False,en
92,874057562936811520,3466,20580,False,en
93,874012996292530176,8802,30813,False,en
94,873580283840344065,3415,21913,False,en
95,873337748698140672,1360,0,False,en
96,873213775632977920,1360,6463,False,en
97,872967104147763200,4673,24614,False,en
98,872820683541237760,3238,13355,False,en
99,872620804844003328,3145,18781,False,en
100,872486979161796608,7909,36917,False,en
101,872122724285648897,7027,30954,False,en
102,871879754684805121,9478,33876,False,en
103,871762521631449091,3040,18304,False,en
104,871515927908634625,3020,18283,False,en
105,871166179821445120,5005,0,False,en
106,871102520638267392,4812,18965,False,en
107,871032628920680449,3308,20610,False,en
108,870804317367881728,5400,30484,False,en
109,870726314365509632,3,109,False,en
110,870656317836468226,2264,11134,False,en
111,870374049280663552,23346,75632,False,en
112,870308999962521604,3633,19913,False,en
113,870063196459192321,7251,33129,False,en
114,869772420881756160,8904,38780,False,en
115,869702957897576449,5511,25599,False,en
116,869596645499047938,2705,14520,False,en
117,869227993411051520,3289,18548,False,en
118,868880397819494401,12595,59301,False,en
119,868639477480148993,1796,0,False,en
120,868622495443632128,4606,24180,False,en
121,868552278524837888,1796,9184,False,en
122,867900495410671616,3665,22062,False,en
123,867774946302451713,6416,30923,False,en
124,867421006826221569,2178,14652,False,en
125,867072653475098625,106,0,False,en
126,867051520902168576,6946,29347,False,en
127,866720684873056260,4225,18230,False,en
128,866686824827068416,3037,17523,False,en
129,866450705531457537,31074,111337,False,en
130,866334964761202691,12550,47672,False,en
131,866094527597207552,7359,0,False,en
132,865718153858494464,4979,23481,False,en
133,865359393868664832,4406,24149,False,en
134,865006731092295680,6822,25624,False,en
135,864873206498414592,7677,29440,False,en
136,864279568663928832,2645,13353,False,en
137,864197398364647424,7780,27292,False,en
138,863907417377173506,3679,18879,False,en
139,863553081350529029,3726,13964,False,en
140,863471782782697472,2136,0,False,en
141,863432100342583297,4671,21822,False,en
142,863427515083354112,82,2003,False,en
143,863079547188785154,986,8059,False,en
144,863062471531167744,2136,7702,False,en
145,862831371563274240,4574,17580,False,en
146,862722525377298433,3168,15680,False,en
147,862457590147678208,4358,18682,False,en
148,862096992088072192,20528,67860,False,en
149,861383897657036800,9534,33065,False,en
